Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
115960,KR7115960007,연우,KOSDAQ,우량기업부,15600,2,-410,-2.56,16300,16300,15300,86511,1360503390,194400640000,12398000,KSQ
032820,KR7032820003,우리기술,KOSDAQ,벤처기업부,1276,2,-28,-2.15,1300,1302,1276,688436,883161983,194164012116,151928022,KSQ
002100,KR7002100006,경농,KOSPI,,9960,2,-110,-1.09,10010,10130,9810,62550,623029500,193468718250,19522575,STK
273640,KR7273640003,와이엠텍,KOSDAQ,벤처기업부,17600,2,-610,-3.35,18100,18360,17600,100397,1792458730,193220920000,10966000,KSQ
004560,KR7004560009,현대비앤지스틸,KOSPI,,12770,2,-410,-3.11,13010,13090,12690,94335,1209456030,193008780800,15078811,STK
014580,KR7014580005,태경비케이,KOSPI,,7000,2,-180,-2.51,7240,7280,6960,384796,2714307080,192805869000,27583100,STK
194700,KR7194700001,노바렉스,KOSDAQ,우량기업부,10330,1,760,7.94,9580,10420,9280,1000343,9898135550,192799837440,18754848,KSQ
052710,KR7052710001,아모텍,KOSDAQ,중견기업부,13150,1,1290,10.88,12350,13720,11000,5785558,73920065220,192480985530,14615109,KSQ
259630,KR7259630002,엠플러스,KOSDAQ,벤처기업부,15790,1,20,0.13,15800,16090,15290,475806,7481888480,192465239340,12282402,KSQ
078160,KR7078160009,메디포스트,KOSDAQ,벤처기업부,9150,2,-370,-3.89,9220,9410,9110,72346,665219000,192377642160,21001926,KSQ
136490,KR7136490000,선진,KOSPI,,8160,2,-80,-0.97,8120,8240,7950,78161,626377190,192376996360,23779604,STK
109610,KR7109610006,에스와이,KOSDAQ,벤처기업부,3920,2,-200,-4.85,4070,4070,3920,789606,3138761460,192206082000,48907400,KSQ
051980,KR7051980001,중앙디앤엠,KOSDAQ,투자주의환기종목(소속부없음),2700,2,-230,-7.85,2840,2840,2650,743661,2023081295,191788095730,71164414,KSQ
377190,KR7377190004,디앤디플랫폼리츠,KOSPI,,3000,2,-15,-0.5,2990,3010,2970,48889,146293430,191590000000,64400000,STK
039560,KR7039560008,다산네트웍스,KOSDAQ,벤처기업부,4880,1,175,3.72,4690,4935,4625,536969,2583219700,191208948040,39505981,KSQ
094480,KR7094480001,갤럭시아머니트리,KOSDAQ,우량기업부,4870,2,-160,-3.18,5020,5020,4850,181064,885137600,191049311060,39229838,KSQ
002620,KR7002620003,제일파마홀딩스,KOSPI,,11940,1,280,2.4,11430,12050,11280,18806,218788670,190721858700,15973355,STK
053300,KR7053300000,한국정보인증,KOSDAQ,우량기업부,4595,2,-75,-1.61,4560,4620,4525,60006,273908105,190708951015,41776331,KSQ
044450,KR7044450005,KSS해운,KOSPI,,8220,2,-370,-4.31,8460,8460,8190,108946,902031060,190227651200,23085880,STK
096240,KR7096240007,크레버스,KOSDAQ,우량기업부,16440,2,-510,-3.01,16940,16940,16350,36890,606831450,190125793080,11543764,KSQ
015890,KR7015890007,태경산업,KOSPI,,6500,2,-270,-3.99,6690,6720,6480,209133,1366975090,189986875000,29228750,STK
006060,KR7006060008,화승인더,KOSPI,,3435,2,-130,-3.65,3555,3555,3420,65139,224679020,189471000000,55320000,STK
950140,KR8840110108,잉글우드랩,KOSDAQ,외국기업(소속부없음),9540,2,-280,-2.85,9610,9880,9170,385772,3640176090,188943405660,19867866,KSQ
024900,KR7024900003,덕양산업,KOSPI,,5810,2,-290,-4.75,5790,5970,5700,887522,5148599250,188551234200,32564980,STK
321550,KR7321550006,티움바이오,KOSDAQ,기술성장기업부,7690,2,-280,-3.51,7930,7930,7580,25124,192470690,188515288500,24482505,KSQ
