Date,Open,High,Low,Close,Volume
2022-08-22,441500,447500,438500,442500,207144
2022-08-23,441500,449000,439500,445000,225611
2022-08-24,449500,454000,441500,451000,242174
2022-08-25,452500,459000,449000,459000,262145
2022-08-26,461000,467000,460500,465500,316072
2022-08-29,451000,465000,447500,459500,339935
2022-08-30,470500,478000,463500,465500,422011
2022-08-31,462500,466000,455000,462500,432953
2022-09-01,455500,469000,455000,463000,289808
2022-09-02,467500,487000,466500,482000,731539
2022-09-05,481500,492000,480500,483000,323405
2022-09-06,483000,486000,475000,483500,205898
2022-09-07,481500,490500,481000,488000,276296
2022-09-08,492500,494000,486000,486500,327964
2022-09-13,492000,500000,485500,497000,437949
2022-09-14,487000,500000,486500,498500,412616
2022-09-15,499500,513000,497500,511000,447162
2022-09-16,512000,516000,501000,506000,975540
2022-09-19,507000,507000,475000,477500,524253
2022-09-20,484000,491000,475500,483500,321658
2022-09-21,481500,487500,476500,479500,251723
2022-09-22,475500,492000,473500,488500,270673
2022-09-23,489000,489500,460000,460500,434212
2022-09-26,453000,458000,440000,446500,446277
2022-09-27,447500,451000,435000,444000,365111
2022-09-28,444000,451500,427000,433500,434645
2022-09-29,440500,448000,436500,440000,315304
2022-09-30,433000,438500,420000,426500,359392
2022-10-04,429500,446000,415000,444500,385281
2022-10-05,455000,470500,448500,469000,500217
2022-10-06,470000,487000,466500,478000,355060
2022-10-07,474500,486000,474000,482500,278082
2022-10-11,482000,497500,477500,497500,482189
2022-10-12,497500,498000,475500,483000,372446
2022-10-13,484500,492500,476500,477000,305035
2022-10-14,487000,489500,479000,483000,234212
2022-10-17,479500,491500,477000,491500,234777
2022-10-18,497000,499500,481500,489000,338046
2022-10-19,491000,500000,489500,497500,347663
2022-10-20,499000,500000,484500,495000,301938
2022-10-21,491000,499000,489000,499000,211677
2022-10-24,504000,510000,500000,509000,346950
2022-10-25,510000,526000,509000,511000,473847
2022-10-26,517000,530000,514000,529000,445935
2022-10-27,535000,545000,532000,540000,370279
2022-10-28,540000,549000,530000,532000,381489
2022-10-31,539000,542000,516000,528000,627381
2022-11-01,534000,563000,533000,563000,516467
2022-11-02,564000,585000,560000,569000,587884
2022-11-03,560000,593000,557000,589000,423465
2022-11-04,590000,598000,583000,592000,363743
2022-11-07,591000,596000,581000,587000,260646
2022-11-08,590000,590000,570000,588000,367102
2022-11-09,591000,599000,581000,599000,304293
2022-11-10,595000,610000,593000,605000,381672
